Date | mars_base_internal_temperature | mars_base_external_temperature | mars_base_internal_humidity | mars_base_external_illuminance | mars_base_internal_co2 | mars_base_internal_oxygen
2025-04-05 17:19:55 | 28.03 | 10.20 | 58.88 | 537.82 | 0.09 | 6.15
2025-04-05 17:20:15 | 19.04 | 20.68 | 59.30 | 660.91 | 0.09 | 5.61
2025-04-05 17:20:35 | 20.88 | 9.27 | 54.12 | 563.37 | 0.10 | 5.58
2025-04-05 17:20:55 | 27.57 | 3.33 | 53.58 | 526.23 | 0.05 | 4.93
2025-04-05 17:21:15 | 20.97 | 9.04 | 58.56 | 671.52 | 0.02 | 4.83
2025-04-05 17:21:35 | 21.06 | 15.11 | 59.77 | 635.82 | 0.04 | 4.85
2025-04-05 17:21:55 | 19.07 | 3.44 | 50.10 | 632.99 | 0.02 | 5.67
2025-04-05 17:22:15 | 20.97 | 8.50 | 52.60 | 572.33 | 0.10 | 6.13
2025-04-05 17:22:35 | 24.57 | 1.62 | 55.21 | 634.07 | 0.09 | 6.32
2025-04-05 17:22:55 | 21.57 | 13.41 | 54.61 | 619.71 | 0.04 | 5.20
2025-04-05 17:23:15 | 19.96 | 13.17 | 51.18 | 534.86 | 0.07 | 5.41
2025-04-05 17:23:35 | 23.91 | 17.60 | 57.36 | 639.94 | 0.09 | 6.89
2025-04-05 17:23:55 | 28.41 | 16.35 | 54.94 | 533.26 | 0.03 | 6.57
2025-04-05 17:24:15 | 29.96 | 18.43 | 58.27 | 623.12 | 0.02 | 5.13
2025-04-05 17:24:35 | 29.45 | 16.95 | 52.99 | 501.68 | 0.07 | 4.23
2025-04-05 17:24:55 | 27.90 | 8.96 | 59.24 | 568.83 | 0.09 | 4.37
2025-04-05 17:25:15 | 24.85 | 2.32 | 58.70 | 668.41 | 0.03 | 6.22
2025-04-05 17:25:35 | 19.82 | 17.23 | 56.88 | 661.22 | 0.09 | 4.59
2025-04-05 17:25:55 | 18.61 | 3.71 | 54.97 | 505.23 | 0.10 | 6.07
2025-04-05 17:26:15 | 25.13 | 7.03 | 53.60 | 598.86 | 0.10 | 5.46
2025-04-05 17:26:35 | 23.99 | 5.26 | 55.80 | 568.61 | 0.10 | 4.68
2025-04-05 17:26:55 | 30.16 | 15.82 | 50.62 | 584.99 | 0.10 | 5.12
2025-04-05 17:27:15 | 28.44 | 15.36 | 55.44 | 704.36 | 0.03 | 5.84
2025-04-05 17:27:35 | 27.68 | 6.09 | 51.99 | 691.84 | 0.07 | 4.58
2025-04-05 17:27:55 | 20.64 | 15.87 | 59.46 | 638.64 | 0.05 | 6.79
2025-04-05 17:28:15 | 21.72 | 15.92 | 53.80 | 549.24 | 0.10 | 5.66
2025-04-05 17:28:35 | 20.10 | 4.97 | 52.52 | 695.35 | 0.05 | 5.96
2025-04-05 17:28:55 | 27.69 | 3.87 | 52.64 | 607.46 | 0.05 | 4.51
2025-04-05 17:29:15 | 28.04 | 14.95 | 53.53 | 521.18 | 0.07 | 6.66
2025-04-05 17:29:35 | 22.05 | 5.21 | 52.90 | 595.83 | 0.08 | 6.77
2025-04-05 17:29:55 | 23.33 | 0.82 | 54.26 | 560.39 | 0.08 | 4.36
2025-04-05 17:30:15 | 26.11 | 13.36 | 53.73 | 535.01 | 0.03 | 6.07
2025-04-05 17:30:35 | 30.26 | 8.17 | 54.93 | 551.40 | 0.08 | 6.56
2025-04-05 17:30:55 | 18.41 | 20.38 | 52.58 | 547.74 | 0.04 | 5.23
2025-04-05 17:31:15 | 19.27 | 0.24 | 52.72 | 656.00 | 0.08 | 5.15
2025-04-05 17:31:35 | 24.23 | 2.10 | 54.26 | 614.09 | 0.09 | 4.10
2025-04-05 17:35:07 | 25.17 | 17.17 | 54.60 | 686.81 | 0.05 | 4.72
2025-04-05 17:35:12 | 23.79 | 0.87 | 55.37 | 666.58 | 0.08 | 5.57
2025-04-05 17:35:17 | 18.90 | 15.21 | 58.76 | 622.54 | 0.03 | 4.05
2025-04-05 17:35:22 | 29.38 | 15.50 | 57.10 | 595.22 | 0.09 | 4.15
2025-04-05 17:35:27 | 28.59 | 13.92 | 50.79 | 564.87 | 0.04 | 5.63
2025-04-05 17:35:32 | 29.14 | 12.62 | 52.35 | 639.02 | 0.03 | 4.63
2025-04-05 17:35:37 | 26.86 | 1.57 | 53.61 | 651.11 | 0.04 | 4.46
2025-04-05 17:35:42 | 19.67 | 8.29 | 56.16 | 513.75 | 0.02 | 4.30
2025-04-05 17:35:47 | 21.64 | 20.95 | 53.38 | 524.34 | 0.05 | 6.58
2025-04-05 17:35:52 | 26.20 | 10.89 | 53.13 | 673.18 | 0.07 | 5.91
2025-04-05 17:35:57 | 19.86 | 12.95 | 59.20 | 607.11 | 0.06 | 4.03
2025-04-05 17:36:02 | 28.43 | 5.84 | 53.58 | 552.17 | 0.06 | 6.65
2025-04-05 17:36:07 | 26.80 | 18.81 | 58.36 | 511.04 | 0.04 | 4.61
2025-04-05 17:36:12 | 19.37 | 4.81 | 58.75 | 592.46 | 0.04 | 6.03
2025-04-05 17:36:17 | 27.65 | 6.32 | 54.93 | 710.24 | 0.02 | 4.04
2025-04-05 17:36:22 | 27.09 | 8.27 | 54.52 | 644.59 | 0.08 | 5.26
2025-04-05 17:36:27 | 20.86 | 19.11 | 59.03 | 528.36 | 0.08 | 6.80
2025-04-05 17:36:32 | 27.69 | 15.18 | 52.18 | 637.91 | 0.07 | 4.15
2025-04-05 17:36:37 | 27.80 | 17.72 | 54.05 | 503.68 | 0.04 | 6.27
2025-04-05 17:36:42 | 18.90 | 1.46 | 53.86 | 656.41 | 0.06 | 4.40
2025-04-05 17:36:47 | 23.42 | 14.00 | 56.25 | 681.19 | 0.06 | 4.37
2025-04-05 17:36:52 | 22.66 | 3.66 | 56.20 | 575.05 | 0.03 | 5.94
2025-04-05 17:36:57 | 25.28 | 1.81 | 56.07 | 556.28 | 0.06 | 6.17
2025-04-05 17:37:02 | 20.08 | 16.21 | 52.86 | 593.23 | 0.06 | 5.64
2025-04-05 17:37:07 | 23.87 | 4.62 | 51.79 | 516.08 | 0.04 | 6.86
2025-04-05 17:37:12 | 21.73 | 7.71 | 53.91 | 560.01 | 0.03 | 6.97
2025-04-05 17:37:17 | 28.29 | 16.22 | 56.57 | 677.28 | 0.05 | 4.97
2025-04-05 17:37:22 | 26.61 | 18.23 | 56.63 | 611.43 | 0.08 | 4.82
2025-04-05 17:37:37 | 29.08 | 7.18 | 58.35 | 505.08 | 0.07 | 5.72
2025-04-05 17:37:42 | 18.07 | 7.09 | 51.65 | 607.96 | 0.09 | 5.35
