Date | mars_base_internal_temperature | mars_base_external_temperature | mars_base_internal_humidity | mars_base_external_illuminance | mars_base_internal_co2 | mars_base_internal_oxygen
2025-04-05 17:19:55 | 28.03 | 10.20 | 58.88 | 537.82 | 0.09 | 6.15
2025-04-05 17:20:15 | 19.04 | 20.68 | 59.30 | 660.91 | 0.09 | 5.61
2025-04-05 17:20:35 | 20.88 | 9.27 | 54.12 | 563.37 | 0.10 | 5.58
2025-04-05 17:20:55 | 27.57 | 3.33 | 53.58 | 526.23 | 0.05 | 4.93
2025-04-05 17:21:15 | 20.97 | 9.04 | 58.56 | 671.52 | 0.02 | 4.83
2025-04-05 17:21:35 | 21.06 | 15.11 | 59.77 | 635.82 | 0.04 | 4.85
2025-04-05 17:21:55 | 19.07 | 3.44 | 50.10 | 632.99 | 0.02 | 5.67
2025-04-05 17:22:15 | 20.97 | 8.50 | 52.60 | 572.33 | 0.10 | 6.13
2025-04-05 17:22:35 | 24.57 | 1.62 | 55.21 | 634.07 | 0.09 | 6.32
2025-04-05 17:22:55 | 21.57 | 13.41 | 54.61 | 619.71 | 0.04 | 5.20
2025-04-05 17:23:15 | 19.96 | 13.17 | 51.18 | 534.86 | 0.07 | 5.41
2025-04-05 17:23:35 | 23.91 | 17.60 | 57.36 | 639.94 | 0.09 | 6.89
2025-04-05 17:23:55 | 28.41 | 16.35 | 54.94 | 533.26 | 0.03 | 6.57
2025-04-05 17:24:15 | 29.96 | 18.43 | 58.27 | 623.12 | 0.02 | 5.13
2025-04-05 17:24:35 | 29.45 | 16.95 | 52.99 | 501.68 | 0.07 | 4.23
2025-04-05 17:24:55 | 27.90 | 8.96 | 59.24 | 568.83 | 0.09 | 4.37
2025-04-05 17:25:15 | 24.85 | 2.32 | 58.70 | 668.41 | 0.03 | 6.22
2025-04-05 17:25:35 | 19.82 | 17.23 | 56.88 | 661.22 | 0.09 | 4.59
2025-04-05 17:25:55 | 18.61 | 3.71 | 54.97 | 505.23 | 0.10 | 6.07
2025-04-05 17:26:15 | 25.13 | 7.03 | 53.60 | 598.86 | 0.10 | 5.46
2025-04-05 17:26:35 | 23.99 | 5.26 | 55.80 | 568.61 | 0.10 | 4.68
2025-04-05 17:26:55 | 30.16 | 15.82 | 50.62 | 584.99 | 0.10 | 5.12
2025-04-05 17:27:15 | 28.44 | 15.36 | 55.44 | 704.36 | 0.03 | 5.84
2025-04-05 17:27:35 | 27.68 | 6.09 | 51.99 | 691.84 | 0.07 | 4.58
2025-04-05 17:27:55 | 20.64 | 15.87 | 59.46 | 638.64 | 0.05 | 6.79
2025-04-05 17:28:15 | 21.72 | 15.92 | 53.80 | 549.24 | 0.10 | 5.66
2025-04-05 17:28:35 | 20.10 | 4.97 | 52.52 | 695.35 | 0.05 | 5.96
2025-04-05 17:28:55 | 27.69 | 3.87 | 52.64 | 607.46 | 0.05 | 4.51
2025-04-05 17:29:15 | 28.04 | 14.95 | 53.53 | 521.18 | 0.07 | 6.66
2025-04-05 17:29:35 | 22.05 | 5.21 | 52.90 | 595.83 | 0.08 | 6.77
2025-04-05 17:29:55 | 23.33 | 0.82 | 54.26 | 560.39 | 0.08 | 4.36
2025-04-05 17:30:15 | 26.11 | 13.36 | 53.73 | 535.01 | 0.03 | 6.07
2025-04-05 17:30:35 | 30.26 | 8.17 | 54.93 | 551.40 | 0.08 | 6.56
2025-04-05 17:30:55 | 18.41 | 20.38 | 52.58 | 547.74 | 0.04 | 5.23
2025-04-05 17:31:15 | 19.27 | 0.24 | 52.72 | 656.00 | 0.08 | 5.15
2025-04-05 17:31:35 | 24.23 | 2.10 | 54.26 | 614.09 | 0.09 | 4.10
2025-04-05 17:35:07 | 25.17 | 17.17 | 54.60 | 686.81 | 0.05 | 4.72
2025-04-05 17:35:12 | 23.79 | 0.87 | 55.37 | 666.58 | 0.08 | 5.57
2025-04-05 17:35:17 | 18.90 | 15.21 | 58.76 | 622.54 | 0.03 | 4.05
2025-04-05 17:35:22 | 29.38 | 15.50 | 57.10 | 595.22 | 0.09 | 4.15
2025-04-05 17:35:27 | 28.59 | 13.92 | 50.79 | 564.87 | 0.04 | 5.63
2025-04-05 17:35:32 | 29.14 | 12.62 | 52.35 | 639.02 | 0.03 | 4.63
2025-04-05 17:35:37 | 26.86 | 1.57 | 53.61 | 651.11 | 0.04 | 4.46
2025-04-05 17:35:42 | 19.67 | 8.29 | 56.16 | 513.75 | 0.02 | 4.30
2025-04-05 17:35:47 | 21.64 | 20.95 | 53.38 | 524.34 | 0.05 | 6.58
2025-04-05 17:35:52 | 26.20 | 10.89 | 53.13 | 673.18 | 0.07 | 5.91
2025-04-05 17:35:57 | 19.86 | 12.95 | 59.20 | 607.11 | 0.06 | 4.03
2025-04-05 17:36:02 | 28.43 | 5.84 | 53.58 | 552.17 | 0.06 | 6.65
2025-04-05 17:36:07 | 26.80 | 18.81 | 58.36 | 511.04 | 0.04 | 4.61
2025-04-05 17:36:12 | 19.37 | 4.81 | 58.75 | 592.46 | 0.04 | 6.03
2025-04-05 17:36:17 | 27.65 | 6.32 | 54.93 | 710.24 | 0.02 | 4.04
2025-04-05 17:36:22 | 27.09 | 8.27 | 54.52 | 644.59 | 0.08 | 5.26
2025-04-05 17:36:27 | 20.86 | 19.11 | 59.03 | 528.36 | 0.08 | 6.80
2025-04-05 17:36:32 | 27.69 | 15.18 | 52.18 | 637.91 | 0.07 | 4.15
2025-04-05 17:36:37 | 27.80 | 17.72 | 54.05 | 503.68 | 0.04 | 6.27
2025-04-05 17:36:42 | 18.90 | 1.46 | 53.86 | 656.41 | 0.06 | 4.40
2025-04-05 17:36:47 | 23.42 | 14.00 | 56.25 | 681.19 | 0.06 | 4.37
2025-04-05 17:36:52 | 22.66 | 3.66 | 56.20 | 575.05 | 0.03 | 5.94
2025-04-05 17:36:57 | 25.28 | 1.81 | 56.07 | 556.28 | 0.06 | 6.17
2025-04-05 17:37:02 | 20.08 | 16.21 | 52.86 | 593.23 | 0.06 | 5.64
2025-04-05 17:37:07 | 23.87 | 4.62 | 51.79 | 516.08 | 0.04 | 6.86
2025-04-05 17:37:12 | 21.73 | 7.71 | 53.91 | 560.01 | 0.03 | 6.97
2025-04-05 17:37:17 | 28.29 | 16.22 | 56.57 | 677.28 | 0.05 | 4.97
2025-04-05 17:37:22 | 26.61 | 18.23 | 56.63 | 611.43 | 0.08 | 4.82
2025-04-05 17:37:37 | 29.08 | 7.18 | 58.35 | 505.08 | 0.07 | 5.72
2025-04-05 17:37:42 | 18.07 | 7.09 | 51.65 | 607.96 | 0.09 | 5.35
2025-04-07 18:35:01 | 20.68 | 19.90 | 50.90 | 676.97 | 0.04 | 6.85
2025-04-07 18:35:06 | 28.58 | 8.27 | 51.09 | 712.34 | 0.07 | 4.89
2025-04-07 18:35:11 | 25.16 | 2.52 | 55.91 | 628.39 | 0.06 | 6.54
2025-04-07 18:35:16 | 19.93 | 14.60 | 52.37 | 588.88 | 0.06 | 6.77
2025-04-07 18:35:21 | 30.46 | 6.64 | 51.57 | 646.51 | 0.05 | 4.13
2025-04-07 18:35:26 | 28.63 | 15.90 | 50.89 | 618.64 | 0.10 | 5.96
2025-04-07 18:35:31 | 27.15 | 15.36 | 59.30 | 545.58 | 0.09 | 5.56
2025-04-07 18:35:36 | 24.74 | 9.20 | 50.06 | 688.58 | 0.09 | 5.55
2025-04-07 18:35:41 | 23.08 | 13.30 | 52.42 | 577.30 | 0.10 | 4.59
2025-04-07 18:35:46 | 23.60 | 12.93 | 51.08 | 617.26 | 0.07 | 4.92
2025-04-07 18:35:51 | 22.14 | 9.29 | 57.38 | 505.87 | 0.09 | 5.54
2025-04-07 18:35:56 | 26.74 | 17.55 | 58.26 | 644.04 | 0.04 | 4.22
2025-04-07 18:36:01 | 27.36 | 8.01 | 57.87 | 653.04 | 0.03 | 5.44
2025-04-07 18:36:06 | 27.30 | 15.29 | 51.39 | 661.23 | 0.06 | 6.77
2025-04-07 18:36:11 | 20.11 | 19.23 | 59.49 | 556.70 | 0.03 | 6.34
2025-04-07 18:39:51 | 18.62 | 4.92 | 50.21 | 649.23 | 0.02 | 5.32
2025-04-07 18:39:56 | 19.35 | 1.89 | 55.06 | 551.95 | 0.08 | 5.92
2025-04-07 18:40:01 | 22.16 | 8.07 | 54.29 | 699.99 | 0.06 | 5.39
2025-04-07 18:40:06 | 25.20 | 5.51 | 58.81 | 530.56 | 0.02 | 6.84
2025-04-07 18:40:11 | 30.17 | 11.86 | 52.97 | 697.83 | 0.03 | 6.25
2025-04-07 18:40:16 | 27.18 | 5.79 | 59.13 | 614.28 | 0.05 | 4.32
2025-04-07 18:40:21 | 27.65 | 1.55 | 54.47 | 674.47 | 0.06 | 5.89
2025-04-07 18:40:26 | 23.90 | 16.94 | 52.08 | 602.60 | 0.06 | 4.43
2025-04-07 18:40:31 | 28.51 | 9.19 | 55.65 | 604.53 | 0.07 | 5.91
2025-04-07 18:40:36 | 22.57 | 1.77 | 51.18 | 595.02 | 0.08 | 6.97
2025-04-07 18:40:41 | 25.12 | 18.20 | 51.19 | 580.81 | 0.08 | 4.04
2025-04-07 18:40:46 | 29.74 | 3.75 | 53.20 | 700.75 | 0.06 | 4.20
2025-04-07 18:40:51 | 27.10 | 17.39 | 53.44 | 511.16 | 0.04 | 6.58
2025-04-07 18:40:56 | 29.08 | 6.94 | 53.48 | 528.90 | 0.05 | 6.57
2025-04-07 18:41:01 | 27.02 | 8.39 | 50.69 | 545.67 | 0.05 | 4.33
2025-04-07 18:41:06 | 22.56 | 8.37 | 57.95 | 515.98 | 0.04 | 5.66
2025-04-07 18:41:11 | 28.69 | 6.91 | 56.85 | 685.99 | 0.08 | 4.54
2025-04-07 18:41:16 | 26.97 | 12.50 | 54.09 | 590.32 | 0.04 | 4.51
2025-04-07 18:41:21 | 22.97 | 9.89 | 58.89 | 587.20 | 0.07 | 4.97
2025-04-07 18:41:26 | 19.31 | 16.17 | 57.70 | 602.62 | 0.10 | 5.42
2025-04-07 18:41:31 | 30.42 | 14.21 | 56.98 | 511.43 | 0.06 | 4.59
2025-04-07 18:41:36 | 23.27 | 16.43 | 51.33 | 554.98 | 0.09 | 5.72
2025-04-07 18:41:41 | 25.04 | 20.83 | 59.85 | 515.05 | 0.05 | 6.86
2025-04-07 18:41:46 | 20.11 | 5.53 | 53.26 | 552.33 | 0.09 | 6.90
2025-04-07 18:41:51 | 20.69 | 0.05 | 56.21 | 601.93 | 0.06 | 4.01
2025-04-07 18:41:56 | 24.85 | 4.56 | 57.50 | 628.44 | 0.07 | 5.29
2025-04-07 18:42:01 | 25.33 | 14.32 | 57.96 | 539.10 | 0.09 | 5.24
2025-04-07 18:42:06 | 29.49 | 3.07 | 55.31 | 594.12 | 0.04 | 5.30
2025-04-07 18:42:11 | 23.80 | 17.29 | 51.89 | 600.40 | 0.05 | 6.92
2025-04-07 18:42:16 | 20.84 | 10.02 | 52.70 | 585.22 | 0.05 | 4.65
2025-04-07 18:42:26 | 28.26 | 7.96 | 59.02 | 662.02 | 0.02 | 5.81
2025-04-07 18:42:31 | 21.92 | 12.59 | 51.77 | 615.53 | 0.05 | 4.52
2025-04-07 18:42:36 | 27.32 | 17.20 | 57.59 | 508.29 | 0.10 | 4.25
2025-04-07 18:42:41 | 27.78 | 2.61 | 58.69 | 572.39 | 0.03 | 4.09
2025-04-07 18:42:46 | 20.23 | 20.76 | 52.63 | 526.77 | 0.03 | 5.26
2025-04-07 18:42:51 | 28.58 | 2.26 | 50.66 | 617.97 | 0.03 | 4.63
2025-04-07 18:42:56 | 26.95 | 12.26 | 54.24 | 505.78 | 0.03 | 6.47
2025-04-07 18:43:01 | 28.52 | 13.88 | 50.82 | 518.36 | 0.02 | 4.80
2025-04-07 18:43:06 | 24.29 | 3.68 | 51.03 | 594.31 | 0.06 | 6.06
2025-04-07 18:43:11 | 19.64 | 10.88 | 58.58 | 614.96 | 0.08 | 6.03
2025-04-07 18:43:16 | 22.96 | 15.11 | 59.25 | 577.01 | 0.07 | 6.22
2025-04-07 18:43:21 | 29.17 | 8.36 | 53.21 | 592.64 | 0.09 | 4.31
2025-04-07 18:43:26 | 22.15 | 10.95 | 58.24 | 573.46 | 0.04 | 4.25
2025-04-07 18:43:31 | 27.49 | 9.26 | 51.64 | 583.54 | 0.03 | 4.77
2025-04-07 18:43:36 | 28.52 | 17.75 | 55.50 | 645.99 | 0.02 | 6.58
2025-04-07 18:43:41 | 23.68 | 16.09 | 52.51 | 563.74 | 0.07 | 4.62
2025-04-07 18:43:46 | 18.10 | 18.92 | 52.67 | 665.71 | 0.02 | 5.80
2025-04-07 18:43:51 | 21.68 | 0.13 | 51.82 | 580.78 | 0.08 | 5.81
2025-04-07 18:43:56 | 22.33 | 10.49 | 58.52 | 551.81 | 0.10 | 4.37
2025-04-07 18:44:01 | 19.88 | 14.37 | 58.73 | 582.72 | 0.06 | 5.74
2025-04-07 18:44:06 | 27.04 | 2.89 | 50.50 | 665.48 | 0.08 | 4.62
2025-04-07 18:44:11 | 23.52 | 17.19 | 59.03 | 685.17 | 0.08 | 4.21
2025-04-07 18:44:16 | 28.04 | 3.78 | 56.30 | 507.00 | 0.07 | 6.67
2025-04-07 18:44:21 | 29.66 | 3.53 | 58.47 | 687.84 | 0.02 | 5.83
2025-04-07 18:44:26 | 26.51 | 0.38 | 54.45 | 643.83 | 0.06 | 5.32
2025-04-07 18:44:31 | 25.01 | 2.41 | 51.03 | 681.46 | 0.04 | 4.89
2025-04-07 18:44:36 | 18.65 | 11.74 | 51.63 | 685.07 | 0.04 | 6.23
2025-04-07 18:44:41 | 18.98 | 2.48 | 57.13 | 547.58 | 0.03 | 6.13
2025-04-07 18:44:46 | 21.27 | 18.25 | 51.32 | 574.38 | 0.03 | 5.41
2025-04-07 18:44:51 | 30.19 | 7.91 | 55.76 | 682.38 | 0.07 | 5.74
2025-04-07 18:44:56 | 21.91 | 18.66 | 56.02 | 647.09 | 0.03 | 5.98
2025-04-07 18:45:01 | 21.68 | 2.79 | 58.35 | 531.55 | 0.03 | 4.37
2025-04-07 18:45:06 | 29.83 | 13.76 | 50.44 | 683.61 | 0.04 | 6.64
2025-04-07 18:45:11 | 26.78 | 2.27 | 55.70 | 671.29 | 0.07 | 4.80
2025-04-07 18:45:16 | 27.51 | 12.75 | 53.53 | 628.19 | 0.06 | 6.81
2025-04-07 18:45:22 | 23.15 | 17.99 | 59.52 | 696.52 | 0.06 | 6.26
2025-04-07 18:45:27 | 29.52 | 20.26 | 59.28 | 616.60 | 0.03 | 4.78
2025-04-07 18:45:32 | 29.60 | 20.48 | 54.22 | 640.62 | 0.10 | 4.38
2025-04-07 18:45:37 | 18.03 | 11.41 | 57.42 | 700.38 | 0.08 | 4.69
2025-04-07 18:45:42 | 22.24 | 5.54 | 56.97 | 645.55 | 0.09 | 4.98
2025-04-07 18:45:47 | 30.31 | 12.66 | 58.73 | 590.41 | 0.03 | 5.70
2025-04-07 18:45:52 | 27.26 | 1.52 | 54.62 | 622.43 | 0.07 | 4.70
2025-04-07 18:45:57 | 26.77 | 1.02 | 54.25 | 635.28 | 0.05 | 6.53
2025-04-07 18:53:16 | 19.75 | 13.48 | 52.33 | 696.24 | 0.10 | 6.58
2025-04-07 18:53:21 | 18.88 | 0.19 | 51.50 | 624.67 | 0.03 | 6.06
2025-04-07 18:53:26 | 20.43 | 20.12 | 55.56 | 536.32 | 0.08 | 4.85
2025-04-07 18:54:03 | 27.62 | 1.86 | 53.13 | 630.99 | 0.09 | 5.94
2025-04-07 18:54:08 | 27.10 | 18.45 | 51.96 | 578.34 | 0.10 | 5.04
2025-04-07 19:02:18 | 19.49 | 0.37 | 56.17 | 633.07 | 0.08 | 4.53
2025-04-07 19:07:32 | 21.83 | 10.46 | 53.12 | 660.18 | 0.05 | 5.11
2025-04-07 19:07:37 | 24.87 | 1.20 | 53.69 | 647.37 | 0.08 | 5.52
2025-04-07 19:07:42 | 18.45 | 0.66 | 56.66 | 515.71 | 0.06 | 5.20
2025-04-07 19:07:47 | 23.59 | 5.30 | 50.17 | 660.96 | 0.08 | 4.22
2025-04-07 19:07:52 | 20.67 | 13.31 | 59.27 | 676.69 | 0.08 | 5.67
2025-04-07 19:07:57 | 19.70 | 3.51 | 53.75 | 702.97 | 0.09 | 4.54
2025-04-07 19:08:02 | 18.22 | 6.15 | 53.42 | 604.36 | 0.07 | 6.52
